timestamp,method,path,userId,userRole,statusCode,responseTime,clientIP,userAgent,error,analysisId,requestSize,responseSize
"2025-06-22T01:52:07.698Z","POST","/api/auth/register","","",201,71,"::ffff:127.0.0.1","axios/1.7.9","","",513,326
"2025-06-22T01:52:07.772Z","POST","/api/auth/login","","",200,53,"::ffff:127.0.0.1","axios/1.7.9","","",510,326
"2025-06-22T19:21:38.844Z","POST","/api/auth/register","","",201,190,"::ffff:127.0.0.1","axios/1.7.9","","",514,326
"2025-06-22T19:21:39.116Z","POST","/api/auth/login","","",200,165,"::ffff:127.0.0.1","axios/1.7.9","","",511,326
"2025-06-22T19:22:24.762Z","POST","/analysis","37aec191-adda-4794-b254-22ef94b434ba","admin",202,4351,"::ffff:127.0.0.1","axios/1.7.9","","39cf41d7-7253-4594-9947-c5f94b062af9",2140,0
"2025-06-22T19:22:24.778Z","POST","/api/analysis","","",202,4372,"::ffff:127.0.0.1","axios/1.7.9","","",2140,135
"2025-06-22T19:22:24.888Z","GET","/analysis/39cf41d7-7253-4594-9947-c5f94b062af9/status","37aec191-adda-4794-b254-22ef94b434ba","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","39cf41d7-7253-4594-9947-c5f94b062af9",460,0
"2025-06-22T19:22:24.895Z","GET","/api/analysis/39cf41d7-7253-4594-9947-c5f94b062af9/status","","",200,13,"::ffff:127.0.0.1","axios/1.7.9","","39cf41d7-7253-4594-9947-c5f94b062af9",460,108
"2025-06-22T19:22:25.041Z","GET","/analysis/39cf41d7-7253-4594-9947-c5f94b062af9/status","37aec191-adda-4794-b254-22ef94b434ba","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","39cf41d7-7253-4594-9947-c5f94b062af9",460,0
"2025-06-22T19:22:25.045Z","GET","/api/analysis/39cf41d7-7253-4594-9947-c5f94b062af9/status","","",200,8,"::ffff:127.0.0.1","axios/1.7.9","","39cf41d7-7253-4594-9947-c5f94b062af9",460,108
"2025-06-22T19:33:13.089Z","POST","/api/auth/register","","",201,178,"::ffff:127.0.0.1","axios/1.7.9","","",513,326
"2025-06-22T19:33:13.305Z","POST","/api/auth/login","","",200,108,"::ffff:127.0.0.1","axios/1.7.9","","",510,326
"2025-06-22T19:33:23.997Z","POST","/analysis","9c6c1eb6-0890-4249-a9e1-230998141c62","admin",202,3072,"::ffff:127.0.0.1","axios/1.7.9","","f0641e95-a17b-4ede-8561-6986cde5ad3d",2140,0
"2025-06-22T19:33:24.002Z","POST","/api/analysis","","",202,3081,"::ffff:127.0.0.1","axios/1.7.9","","",2140,135
"2025-06-22T19:33:24.056Z","GET","/analysis/f0641e95-a17b-4ede-8561-6986cde5ad3d/status","9c6c1eb6-0890-4249-a9e1-230998141c62","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","f0641e95-a17b-4ede-8561-6986cde5ad3d",460,0
"2025-06-22T19:33:24.060Z","GET","/api/analysis/f0641e95-a17b-4ede-8561-6986cde5ad3d/status","","",200,6,"::ffff:127.0.0.1","axios/1.7.9","","f0641e95-a17b-4ede-8561-6986cde5ad3d",460,108
"2025-06-22T19:33:24.117Z","GET","/analysis/f0641e95-a17b-4ede-8561-6986cde5ad3d/status","9c6c1eb6-0890-4249-a9e1-230998141c62","admin",200,1,"::ffff:127.0.0.1","axios/1.7.9","","f0641e95-a17b-4ede-8561-6986cde5ad3d",460,0
"2025-06-22T19:33:24.121Z","GET","/api/analysis/f0641e95-a17b-4ede-8561-6986cde5ad3d/status","","",200,7,"::ffff:127.0.0.1","axios/1.7.9","","f0641e95-a17b-4ede-8561-6986cde5ad3d",460,108
"2025-06-22T19:36:28.565Z","POST","/api/auth/register","","",201,185,"::ffff:127.0.0.1","axios/1.7.9","","",513,326
"2025-06-22T19:36:28.881Z","POST","/api/auth/login","","",200,163,"::ffff:127.0.0.1","axios/1.7.9","","",510,326
"2025-06-22T19:36:34.412Z","POST","/analysis","ef0a1bce-eb06-49fb-889f-287f01028452","admin",202,1513,"::ffff:127.0.0.1","axios/1.7.9","","e3723002-f174-4e88-a450-067011653ea6",2140,0
"2025-06-22T19:36:34.430Z","POST","/api/analysis","","",202,1535,"::ffff:127.0.0.1","axios/1.7.9","","",2140,135
"2025-06-22T19:36:34.508Z","GET","/analysis/e3723002-f174-4e88-a450-067011653ea6/status","ef0a1bce-eb06-49fb-889f-287f01028452","admin",200,0,"::ffff:127.0.0.1","axios/1.7.9","","e3723002-f174-4e88-a450-067011653ea6",460,0
